Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0090364701647061,-3.98188088988413E-06,0.0155812579426484,0,0,0,22.8088620947384,0.327676919372414,0.00101091075582643,-0.0122992399301582,0.860034084387453,-0.000591235146193935,1.0455106513372,0,0,0,0,0,0,package://seven/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://seven/meshes/base_link.STL,l,Partthan-1;Noicarlike-3;Noicarlike-1;khop1-1;khop2-1;khop3-1;Lidar-5,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_rb,-9.13003006530744E-12,0.0299996587490909,-1.5227649002858E-11,0,0,0,1.48261250288933,0.00378178590529205,6.9590228825428E-13,6.71509664005912E-13,0.00676196225634647,2.18859676659095E-12,0.00378178590557582,0,0,0,0,0,0,package://seven/meshes/link_rb.STL,1,1,1,1,0,0,0,0,0,0,package://seven/meshes/link_rb.STL,,banhxe-2,RB_cs,RB_axis,joint_rb,continuous,-0.27068,-0.23996,-0.025002,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_lb,7.51043671698426E-12,-0.0299996587490848,1.52953205656559E-11,0,0,0,1.4826125028972,0.00378178590482591,7.8126806341392E-13,3.26618714590892E-13,0.00676196225644493,1.8162723072729E-12,0.00378178590602968,0,0,0,0,0,0,package://seven/meshes/link_lb.STL,1,1,1,1,0,0,0,0,0,0,package://seven/meshes/link_lb.STL,,banhxe-3,LB_cs,LB_axis,joint_lb,continuous,-0.27068,0.24004,-0.025002,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_rf,1.73352998622534E-11,0.0299996587491544,2.24118640312909E-12,0,0,0,1.4826125028907,0.003781785906135,-2.2442618944636E-12,-9.19797452820909E-14,0.00676196225633982,-5.63993558335591E-13,0.00378178590469724,0,0,0,0,0,0,package://seven/meshes/link_rf.STL,1,1,1,1,0,0,0,0,0,0,package://seven/meshes/link_rf.STL,,banhxe-4,RF_cs,RF_axis,joint_rf,continuous,0.233319504963329,-0.23996043409085,-0.0250018002769645,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_lf,7.10703718098671E-12,-0.029999658749041,1.55933425893817E-11,0,0,0,1.48261250289728,0.00378178590486045,7.85414046395546E-13,3.12051937726312E-13,0.00676196225646206,1.72555136231926E-12,0.00378178590601772,0,0,0,0,0,0,package://seven/meshes/link_lf.STL,1,1,1,1,0,0,0,0,0,0,package://seven/meshes/link_lf.STL,,banhxe-7,FL_cs,FL_axis,joint_lf,continuous,0.23332,0.24004,-0.025002,0,0,0,base_link,0,1,0,,,,,,,,,,,,
